Title,Author,Filename,Start Key,End Key,Category,Bumper Sticker,Original Language,Country,Year,Year Val,Wiki Link,Wiki Text,Paragraphs
The Quran,Muhammad,quran.txt,"SURA 114. Nas, or Mankind 325 ",***END***,Islam,"There is one God, Allah, and Muhammad is his prophet",Arabic,Arabia,609-632,632,https://en.wikipedia.org/wiki/Quran,"The Quran (/kɔːrˈɑːn/[a] kor-AHN; Arabic: القرآن‎, translit. al-Qurʾān Arabic pronunciation: [alqur'ʔaːn],[b] literally meaning ""the recitation""; also romanized Qur'an or Koran[c]) is the central religious text of Islam, which Muslims believe to be a revelation from God (Allah).[1] It is widely regarded as the finest work in classical Arabic literature.[2][3][4][5] The Quran is divided into chapters (Arabic: سورة sūrah, plural سور sūwar), which are subdivided into verses (Arabic: آية āyāh, plural آيات āyāt).

Muslims believe that the Quran was orally revealed by God to the final Prophet, Muhammad, through the archangel Gabriel (Jibril),[6][7] incrementally over a period of some 23 years, beginning on 22 December 609 CE,[8] when Muhammad was 40, and concluding in 632, the year of his death.[1][9][10] Muslims regard the Quran as Muhammad's most important miracle, a proof of his prophethood,[11] and the culmination of a series of divine messages starting with those revealed to Adam and ending with Muhammad. The word ""Quran"" occurs some 70 times in the Quran's text, and other names and words are also said to refer to the Quran.[12]

According to tradition, several of Muhammad's companions served as scribes and recorded the revelations.[13] Shortly after his death, the Quran was compiled by the companions, who had written down or memorized parts of it.[14] The codices showed differences that motivated Caliph Uthman to establish a standard version, now known as Uthman's codex, which is generally considered the archetype of the Quran known today. There are, however, variant readings, with mostly minor differences in meaning.[13]

The Quran assumes familiarity with major narratives recounted in the Biblical scriptures. It summarizes some, dwells at length on others and, in some cases, presents alternative accounts and interpretations of events.[15][16][17] The Quran describes itself as a book of guidance for mankind 2:185. It sometimes offers detailed accounts of specific historical events, and it often emphasizes the moral significance of an event over its narrative sequence.[18][19] Hadith are additional oral and written traditions supplementing the Quran; from careful authentication they are believed to describe words and actions of Muhammad, and in some traditions also those closest to him.[20] In most denominations of Islam, the Quran is used together with hadith to interpret sharia (Islamic) law;[20] in a small number of denominations, only the Quran is used as a source, an approach called Quranism. During prayers, the Quran is recited only in Arabic.[21]

Someone who has memorized the entire Quran is called a hafiz. Quranic verse (ayah) is sometimes recited with a special kind of elocution reserved for this purpose, called tajwid. During the month of Ramadan, Muslims typically complete the recitation of the whole Quran during tarawih prayers. In order to extrapolate the meaning of a particular Quranic verse, most Muslims rely on exegesis, or tafsir.[22]",2854
Thus Spake Zarathustra,"Nietzsche, Friedrich",nietzsche_zara.txt,FIRST PART. ZARATHUSTRA’S DISCOURSES.,"End of Project Gutenberg’s Thus Spake Zarathustra, by Friedrich Nietzsche",Perspectivism,All ideations take place from particular perspectives,German,Germany,1891,1891,https://en.wikipedia.org/wiki/Thus_Spoke_Zarathustra,"Thus Spoke Zarathustra: A Book for All and None (German: Also sprach Zarathustra: Ein Buch für Alle und Keinen, also translated as Thus Spake Zarathustra) is a philosophical novel by German philosopher Friedrich Nietzsche, composed in four parts between 1883 and 1885 and published between 1883 and 1891.[1] Much of the work deals with ideas such as the ""eternal recurrence of the same"", the parable on the ""death of God"", and the ""prophecy"" of the Übermensch, which were first introduced in The Gay Science.[2]",2421
Common Sense,"Paine, Thomas",paine_common.txt,in all caps was in italics in the version of the book I used.,F I N I S.,Political Philosophy,American colonists should revolt against inevitable British oppression in pursuit of egalitarian government,English,United States,1776,1776,https://en.wikipedia.org/wiki/Common_Sense_(pamphlet),"Common Sense[1] was a pamphlet written by Thomas Paine in 1775–76 advocating independence from Great Britain to people in the Thirteen Colonies. Writing in clear and persuasive prose, Paine marshaled moral and political arguments to encourage common people in the Colonies to fight for egalitarian government. It was published anonymously on January 10, 1776, at the beginning of the American Revolution, and became an immediate sensation.

It was sold and distributed widely and read aloud at taverns and meeting places. In proportion to the population of the colonies at that time (2.5 million), it had the largest sale and circulation of any book published in American history.[2] As of 2006, it remains the all-time best selling American title, and is still in print today.[3]

Common Sense made public a persuasive and impassioned case for independence, which before the pamphlet had not yet been given serious intellectual consideration. Paine connected independence with common dissenting Protestant beliefs as a means to present a distinctly American political identity, structuring Common Sense as if it were a sermon.[4][5] Historian Gordon S. Wood described Common Sense as ""the most incendiary and popular pamphlet of the entire revolutionary era"".[6]

The text was translated into French by Antoine Gilbert Griffet de Labaume in 1790.",192
The Rights of Man,"Paine, Thomas",paine_rights.txt,THE RIGHTS OF MAN,***THE END***,Political Philosophy,Political revolution is permissible when a government does not safeguard the natural rights of its people,English,United Kingdom,1791,1791,https://en.wikipedia.org/wiki/Rights_of_Man,"Rights of Man (1791), a book by Thomas Paine, including 31 articles, posits that popular political revolution is permissible when a government does not safeguard the natural rights of its people. Using these points as a base it defends the French Revolution against Edmund Burke's attack in Reflections on the Revolution in France (1790).[1]

It was published in two parts in March 1791 and February 1792.[2]",627
The Republic,Plato,plato_republic.txt,PERSONS OF THE DIALOGUE.,"End of the Project Gutenberg EBook of The Republic, by Plato",Political Philosophy,"The just state is ruled by the philosopher-king, striving for the ideal forms",Greek,Greece,380 BC,-380,https://en.wikipedia.org/wiki/Republic_(Plato),"The Republic (Greek: Πολιτεία, Politeia; Latin: Res Publica[1]) is a Socratic dialogue, written by Plato around 380 BC, concerning justice (δικαιοσύνη), the order and character of the just city-state, and the just man.[2] It is Plato's best-known work, and has proven to be one of the world's most influential works of philosophy and political theory, both intellectually and historically.[3][4]

In the dialogue, Socrates discusses with various Athenians and foreigners about the meaning of justice and whether the just man is happier than the unjust man.[5] They consider the natures of existing regimes and then propose a series of different, hypothetical cities in comparison, culminating in Kallipolis (Καλλίπολις), a city-state ruled by a philosopher king. They also discuss the theory of forms, the immortality of the soul, and the role of the philosopher and of poetry in society.[6] The dialog's setting seems to be during the Peloponnesian War.[7]",1509
Theaetetus,Plato,plato_theaetetus.txt,"PERSONS OF THE DIALOGUE: Socrates, Theodorus, Theaetetus.","End of the Project Gutenberg EBook of Theaetetus, by Plato",Theory of Forms,"The physical world is not as real or true as eternal, absolute, unchangeable ideas",Greek,Greece,369 BC,-369,https://en.wikipedia.org/wiki/Theaetetus_(dialogue),"The Theaetetus (/ˌθiːɪˈtiːtəs/; Greek: Θεαίτητος) is one of Plato's dialogues concerning the nature of knowledge, written circa 369 BCE.

In this dialogue, Socrates and Theaetetus discuss three definitions of knowledge: knowledge as nothing but perception, knowledge as true judgment, and, finally, knowledge as a true judgment with an account. Each of these definitions is shown to be unsatisfactory.

Socrates declares Theaetetus will have benefited from discovering what he does not know, and that he may be better able to approach the topic in the future. The conversation ends with Socrates' announcement that he has to go to court to face a criminal indictment.",402
For the New Intellectual: The Philosophy of Ayn Rand,"Rand, Ayn",rand_philosophy.txt,Who are to be the New Intellectuals? ,Table of Contents ,Objectivism,"Reality exists separately from consciousness, and only capitalism respects the individual's moral right to pursue self-fulfillment",English,United States,1961,1961,https://en.wikipedia.org/wiki/Objectivism_(Ayn_Rand),"Objectivism is a philosophical system developed by Russian-American writer Ayn Rand. Rand first expressed Objectivism in her fiction, most notably The Fountainhead (1943) and Atlas Shrugged (1957), and later in non-fiction essays and books.[1] Leonard Peikoff, a professional philosopher and Rand's designated intellectual heir,[2][3] later gave it a more formal structure. Rand described Objectivism as ""the concept of man as a heroic being, with his own happiness as the moral purpose of his life, with productive achievement as his noblest activity, and reason as his only absolute"".[4] Peikoff characterizes Objectivism as a ""closed system"" that is not subject to change.[5]

Objectivism's central tenets are that reality exists independently of consciousness, that human beings have direct contact with reality through sense perception (see Direct and indirect realism), that one can attain objective knowledge from perception through the process of concept formation and inductive logic, that the proper moral purpose of one's life is the pursuit of one's own happiness (see Rational egoism), that the only social system consistent with this morality is one that displays full respect for individual rights embodied in laissez-faire capitalism, and that the role of art in human life is to transform humans' metaphysical ideas by selective reproduction of reality into a physical form—a work of art—that one can comprehend and to which one can respond emotionally.

Academic philosophers have mostly ignored or rejected Rand's philosophy.[6] Nonetheless, Objectivism has been a significant influence among right-libertarians and American conservatives.[7] The Objectivist movement, which Rand founded, attempts to spread her ideas to the public and in academic settings.[8]",679
The Social Contract,"Rousseau, Jean-Jacques",rousseau_contract.txt,_In which it is inquired why man passes from the state,***END OF THE PROJECT GUTENBERG EBOOK THE SOCIAL CONTRACT & DISCOURSES***,Social Contract,The people are sovereign in forming a political community to address problems in a commercial society,French,France,1762,1762,https://en.wikipedia.org/wiki/The_Social_Contract,"The Social Contract, originally published as On the Social Contract; or, Principles of Political Rights (French: Du contrat social; ou Principes du droit politique) by Jean-Jacques Rousseau, is a 1762 book in which Rousseau theorized about the best way to establish a political community in the face of the problems of commercial society, which he had already identified in his Discourse on Inequality (1754).

The Social Contract helped inspire political reforms or revolutions in Europe, especially in France. The Social Contract argued against the idea that monarchs were divinely empowered to legislate. Rousseau asserts that only the people, who are sovereign, have that all-powerful right.",833
The Analysis of Mind,"Russell, Bertrand",russell_analysis.txt,"LECTURE I. RECENT CRITICISMS OF ""CONSCIOUSNESS""","End of Project Gutenberg's The Analysis of Mind, by Bertrand Russell",Analytic Philosophy,Modern empiricism allows philosophical questions to have scientific answers,English,United Kingdom,1921,1921,https://en.wikipedia.org/wiki/Bertrand_Russell,"Bertrand Arthur William Russell, 3rd Earl Russell, OM FRS[64] (/ˈrʌsəl/; 18 May 1872 – 2 February 1970) was a British philosopher, logician, mathematician, historian, writer, social critic, political activist, and Nobel laureate.[65][66] At various points in his life, Russell considered himself a liberal, a socialist and a pacifist, although he also confessed that his skeptical nature had led him to feel that he had ""never been any of these things, in any profound sense.""[67] Russell was born in Monmouthshire into one of the most prominent aristocratic families in the United Kingdom.[68]

In the early 20th century, Russell led the British ""revolt against idealism"".[69] He is considered one of the founders of analytic philosophy along with his predecessor Gottlob Frege, colleague G. E. Moore and protégé Ludwig Wittgenstein. He is widely held to be one of the 20th century's premier logicians.[66] With A. N. Whitehead he wrote Principia Mathematica, an attempt to create a logical basis for mathematics, the quintessential work of classical logic. His philosophical essay ""On Denoting"" has been considered a ""paradigm of philosophy"".[70] His work has had a considerable influence on mathematics, logic, set theory, linguistics, artificial intelligence, cognitive science, computer science (see type theory and type system) and philosophy, especially the philosophy of language, epistemology and metaphysics.

Russell was a prominent anti-war activist and he championed anti-imperialism.[71][72] Occasionally, he advocated preventive nuclear war, before the opportunity provided by the atomic monopoly had passed and ""welcomed with enthusiasm"" world government.[73] He went to prison for his pacifism during World War I.[74] Later, Russell concluded that war against Adolf Hitler's Nazi Germany was a necessary ""lesser of two evils"" and criticised Stalinist totalitarianism, attacked the involvement of the United States in the Vietnam War and was an outspoken proponent of nuclear disarmament.[75] In 1950, Russell was awarded the Nobel Prize in Literature ""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought"".[76][77]",581
An Inquiry into the Nature and Causes of The Wealth of Nations,"Smith, Adam",smith_wealth.txt,AN INQUIRY INTO THE NATURE AND,The two following accounts are subjoined in order to illustrate and,Classical Economics,"Absent counter-productive commercial regulation, markets will automatically find efficiency through division of labor and accumulation of capital",English,Scotland,1776,1776,https://en.wikipedia.org/wiki/The_Wealth_of_Nations,"An Inquiry into the Nature and Causes of the Wealth of Nations, generally referred to by its shortened title The Wealth of Nations, is the magnum opus of the Scottish economist and moral philosopher Adam Smith. First published in 1776, the book offers one of the world's first collected descriptions of what builds nations' wealth, and is today a fundamental work in classical economics. By reflecting upon the economics at the beginning of the Industrial Revolution, the book touches upon such broad topics as the division of labour, productivity, and free markets.[1]",1389
A Theologico-Political Treatise,"Spinoza, Baruch",spinoza_treatise.txt,[Author's Endnotes] to the Treatise.,End of Part 4 OF 4 Endnotes.,Secularism,"Despite its positive morality, faith must be kept separate from philosophy",Latin,Dutch Republic ,1670,1670,https://en.wikipedia.org/wiki/Tractatus_Theologico-Politicus,"Written by the Dutch philosopher Baruch Spinoza, the Tractatus Theologico-Politicus (TTP) or Theologico-Political Treatise was one of the most controversial texts of the early modern period. It was a preemptive defense[clarification needed] of Spinoza's later work, Ethics, published posthumously in 1677, for which he anticipated harsh criticism.",226
The Ethics,"Spinoza, Baruch",spinoza_ethics.txt,PART I. CONCERNING GOD.,"End of the Project Gutenberg EBook of The Ethics, by Benedict de Spinoza",Rationalism,Reason is the chief source and test of knowledge,Latin,Dutch Republic ,1677,1677,https://en.wikipedia.org/wiki/Ethics_(Spinoza),"Ethics, Demonstrated in Geometrical Order (Latin: Ethica, ordine geometrico demonstrata), usually known as the Ethics, is a philosophical treatise written in Latin by Benedict de Spinoza. It was written between 1664 and 1665[citation needed] and was first published posthumously in 1677.

The book is perhaps the most ambitious attempt to apply the method of Euclid in philosophy. Spinoza puts forward a small number of definitions and axioms from which he attempts to derive hundreds of propositions and corollaries, such as ""When the Mind imagines its own lack of power, it is saddened by it"",[1] ""A free man thinks of nothing less than of death"",[2] and ""The human Mind cannot be absolutely destroyed with the Body, but something of it remains which is eternal.""[3]",912
The Art of War,Sun Tzu,suntzu_artofwar.txt,"should say, in his tent.  See. ss. 26.]","[1]  ""Aids to Scouting,"" p. 2.",Military Strategy,"All warfare is based on deception, and knowing oneself and the enemy leads to victory without jeopardy",Chinese,China,~500 BC,-500,https://en.wikipedia.org/wiki/The_Art_of_War,"The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period (roughly 5th century BC). The work, which is attributed to the ancient Chinese military strategist Sun Tzu (""Master Sun"", also spelled Sunzi), is composed of 13 chapters. Each one is devoted to an aspect of warfare and how it applies to military strategy and tactics. For almost 1,500 years it was the lead text in an anthology that would be formalised as the Seven Military Classics by Emperor Shenzong of Song in 1080. The Art of War remains the most influential strategy text in East Asian warfare[1] and has influenced both Eastern and Western military thinking, business tactics, legal strategy and beyond.

One of the earliest pieces of military literature is t, written by Chinese general Sun Tzu in the 6th century BC. This book contained a detailed explanation and analysis of the Chinese military, from weapons and strategy to rank and discipline. Sun Tzu also stressed the importance of intelligence operatives and espionage to the war effort. Because Sun Tzu has long been considered to be one of history's finest military tacticians and analysts, his teachings and strategies formed the basis of advanced military training for centuries to come

The book was translated into French and published in 1772 (re-published in 1782) by the French Jesuit Jean Joseph Marie Amiot. A partial translation into English was attempted by British officer Everard Ferguson Calthrop in 1905 under the title The Book of War. The first annotated English translation was completed and published by Lionel Giles in 1910.[2] Military and political leaders such as the Chinese communist revolutionary Mao Zedong, Japanese daimyō Takeda Shingen, and American military general Norman Schwarzkopf Jr. have drawn inspiration from the book.",558
Civil Disobedience,"Thoreau, Henry David",thoreau_civil.txt,CIVIL DISOBEDIENCE,THE END,Abolitionism,Individuals have a duty to forbid governments from overruling their consciences,English,United States,1849,1849,https://en.wikipedia.org/wiki/Civil_Disobedience_(Thoreau),"Resistance to Civil Government (Civil Disobedience) is an essay by American transcendentalist Henry David Thoreau that was first published in 1849. In it, Thoreau argues that individuals should not permit governments to overrule or atrophy their consciences, and that they have a duty to avoid allowing such acquiescence to enable the government to make them the agents of injustice. Thoreau was motivated in part by his disgust with slavery and the Mexican–American War (1846–1848).",46
Life Without Principle,"Thoreau, Henry David",thoreau_principle.txt,LIFE WITHOUT PRINCIPLE,THE END,Righteousness,Live with principle and do not take advantage of others,English,United States,1863,1863,https://en.wikipedia.org/wiki/Life_Without_Principle,"Life Without Principle is an essay by Henry David Thoreau that offers his program for a righteous livelihood. It was published in 1863.[1]

Don't cheat people by conspiring with them to protect their comfort zones.
Don't make religions and other such institutions the sort of intellectual comfort zone that prevents you from entertaining ideas that aren't to be found there.
Don't cheat yourself by working primarily for a paycheck. If what you do with your life free-of-charge is so worthless to you that you'd be convinced to do something else in exchange for a little money or fame, you need better hobbies.
Furthermore, don't hire someone who's only in it for the money.
Sustain yourself by the life you live, not by exchanging your life for money and living off that.
It is a shame to be living off an inheritance, charity, a government pension, or to gamble your way to prosperity—either through a lottery or by such means as prospecting for gold.
Remember that what is valuable about a thing is not the same as how much money it will fetch on the market.
Don't waste conversation and attention on the superficial trivialities and gossip of the daily news, but attend to things of more import: ""Read not the Times. Read the Eternities.""
Similarly, politics is something that ought to be a minor and discreet part of life, not the grotesque public sport it has become.
Don't mistake the march of commerce for progress and civilization—especially when that commerce amounts to driving slaves to produce the articles of vice like alcohol and tobacco. There's no shortage of gold, of tobacco, of alcohol, but there is a short supply of ""a high and earnest purpose.""",46
"Walden, and On the Duty of Civil Disobedience","Thoreau, Henry David",thoreau_walden.txt, ON THE DUTY OF CIVIL DISOBEDIENCE,"End of The Project Gutenberg Etext of Walden, and On The Duty Of Civil",Transcendentalism,"People and nature are inherently good, and people are at their best when self-reliant and independent",English,United States,1854,1854,https://en.wikipedia.org/wiki/Walden,"Walden (/ˈwɔːldən/; first published as Walden; or, Life in the Woods) is a book by transcendentalist Henry David Thoreau. The text is a reflection upon simple living in natural surroundings. The work is part personal declaration of independence, social experiment, voyage of spiritual discovery, satire, and—to some degree—a manual for self-reliance.[2]

First published in 1854, Walden details Thoreau's experiences over the course of two years, two months, and two days in a cabin he built near Walden Pond amidst woodland owned by his friend and mentor Ralph Waldo Emerson, near Concord, Massachusetts. Thoreau used this time to write his first book, A Week on the Concord and Merrimack Rivers. The experience later inspired Walden, in which Thoreau compresses the time into a single calendar year and uses passages of four seasons to symbolize human development.

The book can be seen as performance art, a demonstration of how easy it can be to acquire the four necessities of life. Once acquired, he believed people should then focus their efforts on personal growth.

By immersing himself in nature, Thoreau hoped to gain a more objective understanding of society through personal introspection. Simple living and self-sufficiency were Thoreau's other goals, and the whole project was inspired by transcendentalist philosophy, a central theme of the American Romantic Period.

Thoreau makes precise scientific observations of nature as well as metaphorical and poetic uses of natural phenomena. He identifies many plants and animals by both their popular and scientific names, records in detail the color and clarity of different bodies of water, precisely dates and describes the freezing and thawing of the pond, and recounts his experiments to measure the depth and shape of the bottom of the supposedly ""bottomless"" Walden Pond.",46
Bhagavad Gita,"Vyasa, Veda",vyasa_bhagavadgita.txt,CHAPTER I,THE END,Hinduism,"Pursuit of four paths to spirituality through fulfillment of warrior duty to ""selfless action""",Sanskrit,India,~200 BC,-200,https://en.wikipedia.org/wiki/Bhagavad_Gita,"The Bhagavad Gita (/ˌbʌɡəvəd ˈɡiːtɑː, -tə/; Sanskrit: भगवद्गीता, IAST: bhagavad-gītā, lit. ""The Song of God""),[1] often referred to as the Gita, is a 700-verse Sanskrit scripture that is part of the Hindu epic Mahabharata (chapters 23–40 of Bhishma Parva).

The Gita is set in a narrative framework of a dialogue between Pandava prince Arjuna and his guide and charioteer Krishna. At the start of the Dharma Yudhha (righteous war) between Pandavas and Kauravas, Arjuna is filled with moral dilemma and despair about the violence and death the war will cause. He wonders if he should renounce and seeks Krishna's counsel, whose answers and discourse constitute the Bhagadvad Gita. Krishna counsels Arjuna to ""fulfill his Kshatriya (warrior) duty to uphold the Dharma"" through ""selfless action"".[web 1][2][note 1] The Krishna-Arjuna dialogue cover a broad range of spiritual topics, touching upon ethical dilemmas and philosophical issues that go far beyond the war Arjuna faces.[1][3][4]

The Bhagavad Gita presents a synthesis[5][6] of Hindu ideas about dharma,[5][6][7] theistic bhakti,[8][7] and the yogic paths to moksha.[6] The synthesis presents four paths to spirituality – jnana, bhakti, karma, and raja yogas.[8] These incorporate ideas from the Samkhya-Yoga and Vedanta philosophies.[web 1][note 2]

Numerous commentaries have been written on the Bhagavad Gita with widely differing views on the essentials. Vedanta commentators read varying relations between Self and Brahman in the text: Advaita Vedanta sees the non-dualism of Atman (soul) and Brahman as its essence,[9] whereas Bhedabheda and Vishishtadvaita see Atman and Brahman as both different and non-different, and Dvaita sees them as different. The setting of the Gita in a battlefield has been interpreted as an allegory for the ethical and moral struggles of the human life.[4][10][11]

The Bhagavad Gita is the best known and most famous of Hindu texts,[12] with a unique pan-Hindu influence.[13][14] The Gita's call for selfless action inspired many leaders of the Indian independence movement including Bal Gangadhar Tilak and Mahatma Gandhi; the latter referred to it as his ""spiritual dictionary"".[15]",75
